"titulo","descripcion","texto_enlace","enlace","foto","slider"
"Nuevo Surface Pro 7","Más del Pro que conoces. Más potente que nunca, el nuevo Surface Pro 7 cuenta con un procesador Intel® Core™ para portátil.","comprar ahora","https://www.microsoft.com/es-es/p/surface-pro-7/8N17J0M5ZZQS",,"no"
"Xbox Series X","Mantente al tanto de los detalles más interesantes. Regístrate para recibir más información en cuanto esté disponible.","Mas información","https://aka.ms/XboxSeriesX/es-es/EMWA",,"no"
"Mandos Xbox One","Precisión, potencia y emoción: todo en un bonito paquete.","comprar ahora","https://www.microsoft.com/es-es/store/collections/xboxaccessories",,"no"
"Combina y ahorra con Surface","Crea un Pack con tu nuevo Surface y ahorra hasta un 50% en los accesorios que elijas.","crea tu pack","https://www.microsoft.com/es-es/store/collections/surfacebundles",,"no"
"Xbox Game Pass Ultimate","Xbox Live Gold y más de 100 juegos de alta calidad para consola y PC. Juega con tus amigos y descubre tu próximo juego favorito.","Unirte ahora","https://www.microsoft.com/es-es/p/xbox-game-pass/CFQ7TTC0KHS0",,"si"
"Ofertas Surface","Dispositivos de Surface seleccionados en oferta","Ver mas","https://www.microsoft.com/es-es/store/b/sale?WT.mc_id=MSCOM_HP_SurfaceDeals_ES_es",,"si"
"Este es tu 365","Sorprendete a diario con todas las ofertas 365","Hasta 6 usuarios","https://www.microsoft.com/es-es/p/office-365-home/cfq7ttc0k5dm",,"si"
"Diseñado para el futuro del trabajo","Compra la última colección de Surface para empresas en Microsoft Store.","comprar ahora","https://www.microsoft.com/es-es/store/b/surfaceforbusiness",,
"Office 365 para empresas","Accede a tus archivos desde cualquier lugar, online o sin conexión.","comprar ahora","https://products.office.com/es-es/compare-all-microsoft-office-products?tab=2&OCID=AID679471_OO_HLW_mscomrefresh",,
"Windows 10 Enterprise","Descarga la evaluación gratuita de 90 días para profesionales de TI.","Descargar ahora","https://www.microsoft.com/es-es/evalcenter/evaluate-windows-10-enterprise",,
"Explora Kubernetes","Descubre cómo funciona Kubernetes y empieza a desarrollar hoy mismo aplicaciones nativas en la nube.","Introducción","https://azure.microsoft.com/es-es/topic/what-is-kubernetes/",,
